 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 04, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen (gas).txt

 Ion = Carbon [6] , Mass = 16 amu

 Target Density =  3.0840E-05 g/cm3 = 1.8424E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   7.926E-02  2.754E-04   71.73 mm     1.88 mm     1.34 mm  
   3.25 MeV   8.257E-02  2.576E-04   74.81 mm     1.93 mm     1.35 mm  
   3.50 MeV   8.540E-02  2.422E-04   77.77 mm     1.98 mm     1.37 mm  
   3.75 MeV   8.778E-02  2.286E-04   80.65 mm     2.02 mm     1.38 mm  
   4.00 MeV   8.978E-02  2.166E-04   83.46 mm     2.06 mm     1.39 mm  
   4.50 MeV   9.280E-02  1.962E-04   88.92 mm     2.20 mm     1.41 mm  
   5.00 MeV   9.479E-02  1.795E-04   94.24 mm     2.33 mm     1.43 mm  
   5.50 MeV   9.601E-02  1.656E-04   99.47 mm     2.45 mm     1.45 mm  
   6.00 MeV   9.665E-02  1.538E-04  104.65 mm     2.56 mm     1.46 mm  
   6.50 MeV   9.684E-02  1.437E-04  109.81 mm     2.66 mm     1.48 mm  
   7.00 MeV   9.668E-02  1.349E-04  114.97 mm     2.76 mm     1.49 mm  
   8.00 MeV   9.562E-02  1.204E-04  125.36 mm     3.13 mm     1.51 mm  
   9.00 MeV   9.388E-02  1.088E-04  135.90 mm     3.47 mm     1.54 mm  
  10.00 MeV   9.171E-02  9.939E-05  146.66 mm     3.79 mm     1.56 mm  
  11.00 MeV   8.928E-02  9.156E-05  157.70 mm     4.10 mm     1.58 mm  
  12.00 MeV   8.670E-02  8.494E-05  169.06 mm     4.40 mm     1.60 mm  
  13.00 MeV   8.404E-02  7.926E-05  180.77 mm     4.70 mm     1.62 mm  
  14.00 MeV   8.137E-02  7.434E-05  192.85 mm     5.01 mm     1.64 mm  
  15.00 MeV   7.872E-02  7.002E-05  205.34 mm     5.31 mm     1.66 mm  
